A0A1D6GLE7	A0A1D6GLE7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb047770			12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4				
A0A1D6GLH0	A0A1D6GLH0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb004670			Uncharacterized protein				
A0A1D6GM10	A0A1D6GM10_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb191880			Uncharacterized protein				
A0A1D6GNM1	A0A1D6GNM1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb044280			1-phosphatidylinositol-4-phosphate 5-kinase (EC 2.7.1.68)				
A0A1D6GNM3	A0A1D6GNM3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb044280			Phosphatidylinositol 4-phosphate 5-kinase 9				
A0A1D6GNM5	A0A1D6GNM5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb044280			Phosphatidylinositol 4-phosphate 5-kinase (EC 2.7.1.68)				
A0A1D6GQJ9	A0A1D6GQJ9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb006900			Putative mitochondrial adenine nucleotide transporter BTL2				
A0A1D6GS98	A0A1D6GS98_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb006900			Putative mitochondrial adenine nucleotide transporter BTL2				
A0A1D6GYY9	A0A1D6GYY9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb166920			Uncharacterized protein				
A0A1D6GZZ9	A0A1D6GZZ9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb178750			Histone acetyltransferase (EC 2.3.1.48)				
A0A1D6H003	A0A1D6H003_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb178750			Histone acetyltransferase (EC 2.3.1.48)				
A0A1D6H012	A0A1D6H012_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb178750			Histone acetyltransferase HAC1 (Fragment)				
A0A1D6H013	A0A1D6H013_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb178750			Histone acetyltransferase (EC 2.3.1.48)				
A0A1D6H031	A0A1D6H031_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb178750			Histone acetyltransferase (EC 2.3.1.48)				
A0A1D6H036	A0A1D6H036_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb178750			Histone acetyltransferase (EC 2.3.1.48) (Fragment)				
A0A1D6H041	A0A1D6H041_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb178750			Histone acetyltransferase HAC1				
A0A1D6H0Z0	A0A1D6H0Z0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb047350			ADP-ribosylation factor GTPase-activating protein AGD3				
A0A1D6H0Z1	A0A1D6H0Z1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb047350			ADP-ribosylation factor GTPase-activating protein AGD3 (Fragment)				
A0A1D6H2Y9	A0A1D6H2Y9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb205090			Protein-serine/threonine phosphatase (EC 3.1.3.16)				
A0A1D6H362	A0A1D6H362_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb191880			Uncharacterized protein				
A0A1D6H491	A0A1D6H491_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb032430			Uncharacterized protein				
A0A1D6H6X4	A0A1D6H6X4_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb087970			Uncharacterized protein (Fragment)				
A0A1D6H7S1	A0A1D6H7S1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb175510			Uncharacterized protein				
A0A1D6H7S8	A0A1D6H7S8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb175510			Uncharacterized protein				
A0A1D6HBG9	A0A1D6HBG9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb033400			GTP cyclohydrolase II (EC 3.5.4.25) (GTP cyclohydrolase-2)				
A0A1D6HCX2	A0A1D6HCX2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb076510			Carboxypeptidase SOL1				
A0A1D6HCX3	A0A1D6HCX3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb076510			Carboxypeptidase SOL1				
A0A1D6HDR6	A0A1D6HDR6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb065190			Myosin-10				
A0A1D6HDR7	A0A1D6HDR7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb065190			Myosin-10				
A0A1D6HDR8	A0A1D6HDR8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb065190			Myosin-10				
A0A1D6HF43	A0A1D6HF43_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb186620			Expansin-B4				
A0A1D6HG90	A0A1D6HG90_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb011870			Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)				
A0A1D6HJB2	A0A1D6HJB2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb051760			Putative dual specificity protein phosphatase DSP8				
A0A1D6HLZ7	A0A1D6HLZ7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb103140			Non-specific serine/threonine protein kinase (EC 2.7.11.1)				
A0A1D6HWJ5	A0A1D6HWJ5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb032430			Uncharacterized protein				
A0A1D6HWJ6	A0A1D6HWJ6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb032430			Uncharacterized protein				
A0A1D6I080	A0A1D6I080_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099220			Potassium ion transmembrane transporter				
A0A1D6IGW3	A0A1D6IGW3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb171950			Uncharacterized protein				
A0A1D6IKT9	A0A1D6IKT9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb109980			Putative plant SNARE 13 (Fragment)				
