""	"x"
"412"	"Trypanosoma congolense"
"413"	"Aspergillus wentii"
"414"	"Aspergillus zonatus"
"415"	"Entamoeba nuttalli"
"416"	"Fusarium oxysporum"
"417"	"Plasmodium cynomolgi"
"418"	"Babesia microti"
"419"	"Aspergillus luchuensis"
"420"	"Saprolegnia diclina"
"421"	"Aspergillus glaucus"
"422"	"Chromera velia"
"423"	"Vitrella brassicaformis"
"424"	"Encephalitozoon romaleae"
"425"	"Leishmania aethiopica"
"426"	"Leishmania tropica"
"427"	"Pythium aphanidermatum"
"428"	"Pythium arrhenomanes"
"429"	"Pythium irregulare"
"430"	"Pythium iwayamai"
"431"	"Pythium vexans"
"432"	"Plasmodium inui"
"433"	"Anncaliia algerae"
"434"	"Acanthamoeba castellanii"
"435"	"Fusarium fujikuroi"
"436"	"Leishmania panamensis"
"437"	"Cryptococcus gattii"
"438"	"Leishmania sp."
"439"	"Ordospora colligata"
"440"	"Spraguea lophii"
"441"	"Aspergillus campestris"
"442"	"Aspergillus steynii"
"443"	"Aspergillus novofumigatus"
"444"	"Aspergillus ochraceoroseus"
"445"	"Sporothrix schenckii"
"446"	"Theileria equi"
"447"	"Trypanosoma brucei"
"448"	"Coccidioides posadasii"
"449"	"Aspergillus nidulans"
"450"	"Fusarium graminearum"
"451"	"Phanerochaete chrysosporium"
"452"	"Cryptococcus deuterogattii"
"453"	"Aspergillus fumigatus"
"454"	"Aspergillus fischeri"
"455"	"Botrytis cinerea"
"456"	"Aspergillus flavus"
"457"	"Fusarium verticillioides"
"458"	"Zymoseptoria tritici"
"459"	"Histoplasma capsulatum"
"460"	"Aspergillus terreus"
"461"	"Aspergillus clavatus"
"462"	"Plasmodium yoelii"
"463"	"Entamoeba dispar"
"464"	"Entamoeba invadens"
"465"	"Aspergillus niger"
"466"	"Schizosaccharomyces japonicus"
"467"	"Eimeria tenella"
"468"	"Trypanosoma rangeli"
"469"	"Trichoderma reesei"
"470"	"Cryptosporidium muris"
"471"	"Talaromyces marneffei"
"472"	"Schizosaccharomyces octosporus"
"473"	"Penicillium rubens"
"474"	"Paracoccidioides lutzii"
"475"	"Aspergillus oryzae"
"476"	"Neurospora tetrasperma"
"477"	"Neurospora discreta"
"478"	"Tremella mesenterica"
"479"	"Nosema bombycis"
"480"	"Allomyces macrogynus"
"481"	"Aspergillus carbonarius"
"482"	"Spizellomyces punctatus"
"483"	"Aspergillus aculeatus"
"484"	"Saprolegnia parasitica"
"485"	"Melampsora larici-populina"
"486"	"Mucor circinelloides"
"487"	"Phytophthora parasitica"
"488"	"Phycomyces blakesleeanus"
"489"	"Phytophthora capsici"
"490"	"Aspergillus brasiliensis"
"491"	"Aspergillus tubingensis"
"492"	"Theileria orientalis"
"493"	"Encephalitozoon intestinalis"
"494"	"Albugo laibachii"
"495"	"Encephalitozoon hellem"
"496"	"Albugo candida"
"497"	"Leishmania mexicana"
"498"	"Leishmania donovani"
"499"	"Aphanomyces astaci"
"500"	"Aphanomyces invadans"
"501"	"Babesia bigemina"
"502"	"Babesia ovata"
"503"	"Cryptosporidium andersoni"
"504"	"Cyclospora cayetanensis"
"505"	"Crithidia fasciculata"
"506"	"Cytauxzoon felis"
"507"	"Cryptosporidium meleagridis"
"508"	"Cystoisospora suis"
"509"	"Cryptosporidium tyzzeri"
"510"	"Cryptosporidium ubiquitum"
"511"	"Eimeria acervulina"
"512"	"Eimeria brunetti"
"513"	"Enterospora canceri"
"514"	"Eimeria falciformis"
"515"	"Enterocytozoon hepatopenaei"
"516"	"Eimeria maxima"
"517"	"Eimeria mitis"
"518"	"Endotrypanum monterogeii"
"519"	"Entamoeba moshkovskii"
"520"	"Eimeria necatrix"
"521"	"Eimeria praecox"
"522"	"Gregarina niphandrodes"
"523"	"Hepatospora eriocheir"
"524"	"Hammondia hammondi"
"525"	"Leishmania arabica"
"526"	"Leishmania enriettii"
"527"	"Leishmania gerbilli"
"528"	"Leptomonas pyrrhocoris"
"529"	"Leptomonas seymouri"
"530"	"Leishmania tarentolae"
"531"	"Leishmania turanica"
"532"	"Mitosporidium daphniae"
"533"	"Nematocida ausubeli"
"534"	"Nematocida displodere"
"535"	"Naegleria fowleri"
"536"	"Plasmodium billcollinsi"
"537"	"Plasmodium coatneyi"
"538"	"Plasmodium fragile"
"539"	"Plasmodium gaboni"
"540"	"Plasmodium gallinaceum"
"541"	"Plasmodium malariae"
"542"	"Pseudoloma neurophilia"
"543"	"Plasmodium ovale"
"544"	"Plasmodium reichenowi"
"545"	"Plasmodium relictum"
"546"	"Plasmodium vinckei"
"547"	"Sarcocystis neurona"
"548"	"Spironucleus salmonicida"
"549"	"Trypanosoma evansi"
"550"	"Trypanosoma grayi"
"551"	"Gopherus agassizii"
"552"	"Phascolarctos cinereus"
"553"	"Sphenodon punctatus"
"554"	"Ursus americanus"
"555"	"Ursus maritimus"
"556"	"Vulpes vulpes"
"557"	"canis lupus dingo"
"558"	"chrysemys picta bellii"
"559"	"equus asinus asinus"
"560"	"Anser brachyrhynchus"
"561"	"Apteryx haastii"
"562"	"Apteryx owenii"
"563"	"Apteryx rowi"
"564"	"Bos mutus"
"565"	"Chelonoidis abingdonii"
"566"	"Cyanistes caeruleus"
"567"	"Castor canadensis"
"568"	"Coturnix japonica"
"569"	"Crocodylus porosus"
"570"	"Calidris pugnax"
"571"	"Calidris pygmaea"
"572"	"Dromaius novaehollandiae"
"573"	"Junco hyemalis"
"574"	"Lepidothrix coronata"
"575"	"Mus spicilegus"
"576"	"Meriones unguiculatus"
"577"	"Manacus vitellinus"
"578"	"Numida meleagris"
"579"	"Nothoprocta perdicaria"
"580"	"Notechis scutatus"
"581"	"Neovison vison"
"582"	"Parus major"
"583"	"Prolemur simus"
"584"	"Piliocolobus tephrosceles"
"585"	"Pogona vitticeps"
"586"	"Serinus canaria"
"587"	"Spermophilus dauricus"
"588"	"Salvator merianae"
"589"	"Theropithecus gelada"
"590"	"Urocitellus parryii"
"591"	"Zonotrichia albicollis"
"592"	"anas platyrhynchos platyrhynchos"
"593"	"bison bison bison"
"594"	"cricetulus griseus picr"
"595"	"lonchura striata domestica"
"596"	"marmota marmota marmota"
"597"	"Callorhinchus milii"
"598"	"Electrophorus electricus"
"599"	"Hucho hucho"
"600"	"Lates calcarifer"
"601"	"Vombatus ursinus"
"602"	"Acanthamoeba castellanii str. Neff"
