"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb146510"	-2.25350621691491	4.37399874211497	3.97601347639974e-05	0.00515177746156366
"Zm00001eb275420"	2.33332269684359	3.05630387623181	4.02259073418973e-05	0.00518567077591281
"Zm00001eb143500"	-7.50295051438457	-1.04904655913408	4.04915838423148e-05	0.00519355688514862
"Zm00001eb074910"	2.42035454958627	2.32460697488859	4.13185135275188e-05	0.00527298979670787
"Zm00001eb201580"	-2.33663418965825	2.82946147154165	4.18104894614592e-05	0.00530909595181609
"Zm00001eb293510"	2.2524471252625	4.18808879738185	4.29394564228007e-05	0.00542532554882312
"Zm00001eb341630"	2.20832435011867	6.44568411945471	4.32260374639359e-05	0.00543449726452532
"Zm00001eb431080"	2.26308824259663	3.84213234446138	4.58577859245836e-05	0.00573119242779563
"Zm00001eb241920"	-2.20498999174358	5.86110095835198	4.60372993884985e-05	0.00573119242779563
"Zm00001eb224180"	2.20211257607686	5.7711921148885	4.70202475500964e-05	0.00582500588674267
"Zm00001eb119080"	-2.40237254815945	2.23851708932493	4.73226499806128e-05	0.00583400980052254
"Zm00001eb220680"	-3.20016876665615	-0.0402621478568921	4.77507281575124e-05	0.00584219761020669
"Zm00001eb396660"	3.46425989666338	0.135618851088897	4.78491535250824e-05	0.00584219761020669
"Zm00001eb266160"	-2.27495189381766	3.35961203051448	4.88757917350088e-05	0.00593899333446068
"Zm00001eb239990"	-2.28328246176955	3.21372633573435	5.03914187696262e-05	0.00607181310451322
"Zm00001eb264140"	-2.8600420517943	0.607620974423754	5.04470217771416e-05	0.00607181310451322
"Zm00001eb306070"	-2.19559411735503	4.89347883210389	5.57618603074205e-05	0.00666908975820458
"Zm00001eb149500"	-2.48066638492112	1.6230014799245	5.59346400416434e-05	0.00666908975820458
"Zm00001eb260160"	-2.32394658650742	2.45046604211106	5.73580066389611e-05	0.00680684082524793
"Zm00001eb418890"	-7.43295880952541	-1.10906230711113	5.80014579362886e-05	0.00685118616627901
"Zm00001eb214550"	3.28786423462229	-0.0132261692763457	5.87160314657251e-05	0.00690348303288682
"Zm00001eb345950"	-2.64783672286018	1.08033692613047	6.22634650274441e-05	0.00728683390708281
"Zm00001eb346920"	-4.66815841899623	-0.783739813908101	6.25587787063227e-05	0.0072878107524118
"Zm00001eb129480"	2.23066151335581	3.61266722321448	6.31789013667198e-05	0.00731825315802981
"Zm00001eb122110"	-2.1557954427908	6.22381353763306	6.3445920093833e-05	0.00731825315802981
"Zm00001eb342740"	2.27920513109143	2.94659889207196	6.37115883981133e-05	0.00731825315802981
"Zm00001eb159220"	2.46821036826819	1.7193713355448	6.44949643021695e-05	0.00731825315802981
"Zm00001eb080840"	-2.2501554890397	3.24951998246545	6.47175801723654e-05	0.00731825315802981
"Zm00001eb107560"	-2.17054359485619	4.89200112953275	6.47472172430233e-05	0.00731825315802981
"Zm00001eb018630"	-2.34705923791429	2.29102149784309	6.48372562827495e-05	0.00731825315802981
"Zm00001eb068480"	3.23123335147729	0.228743559145767	6.69068540412162e-05	0.00751843568686162
"Zm00001eb206400"	2.14234859938516	6.85540372444529	6.72657890298477e-05	0.00752547126961239
"Zm00001eb344160"	-2.49908110301844	1.33732095970051	6.84985529025088e-05	0.00762977741014085
"Zm00001eb136150"	-2.6313705080442	1.06656439606821	6.90776462032207e-05	0.00763450756605161
"Zm00001eb055460"	2.13636973765667	7.24835671622619	6.9389954704455e-05	0.00763450756605161
"Zm00001eb032280"	-2.19746116830932	3.85394418384349	6.94428747738983e-05	0.00763450756605161
"Zm00001eb033080"	-2.17474241941564	4.2141692711363	7.28053232393341e-05	0.00796967236631952
"Zm00001eb250950"	2.38236203721518	2.09457216186938	7.37933725685304e-05	0.00804316090021629
"Zm00001eb343120"	2.15805525548883	4.7080297890763	7.56068839792827e-05	0.00820560865614471
"Zm00001eb242480"	-2.39913853713324	1.80432549058419	8.01438213814408e-05	0.00865020397615105
"Zm00001eb389640"	2.1460539749827	4.84350294794667	8.03846329489544e-05	0.00865020397615105
"Zm00001eb066480"	-2.15368361427474	4.43387087990365	8.09317717801087e-05	0.00865594692541171
"Zm00001eb037860"	2.46512031664934	1.59560115845337	8.11196790143325e-05	0.00865594692541171
"Zm00001eb127180"	2.97336459214063	0.456290903335806	8.25598069654898e-05	0.00877275672675974
"Zm00001eb277960"	-2.49683213709912	1.19504562684947	8.34675836380244e-05	0.00878464930521998
"Zm00001eb422590"	7.30563015169164	-1.11320881159207	8.37798836857501e-05	0.00878464930521998
"Zm00001eb184800"	7.30563015169164	-1.11320881159207	8.37798836857501e-05	0.00878464930521998
"Zm00001eb343900"	-2.10996841157672	6.98678227505194	8.4290408732385e-05	0.00878464930521998
"Zm00001eb246190"	-2.27126754515992	2.40717981816807	8.46692349730235e-05	0.00878464930521998
"Zm00001eb044310"	-3.01192765524379	0.0436810345138954	8.47471680492556e-05	0.00878464930521998
"Zm00001eb289000"	-2.12390029947622	5.16690279042184	8.94145330189186e-05	0.00913842611783604
"Zm00001eb016880"	2.3904697964343	1.76711968392735	8.94193690300035e-05	0.00913842611783604
"Zm00001eb348110"	3.22392377117747	-0.0665324320286019	8.94530985737602e-05	0.00913842611783604
"Zm00001eb017400"	-2.2633063828153	2.42836934216922	8.95994685517867e-05	0.00913842611783604
"Zm00001eb141120"	2.09683313833933	7.00300600530043	9.28768068419971e-05	0.00943479754623743
"Zm00001eb149430"	2.23892708356669	2.67245889825446	9.60227118295801e-05	0.00971550912200803
"Zm00001eb041910"	2.59811640354719	0.979657255624607	0.000101602962631203	0.0101988491659368
"Zm00001eb053150"	2.59811640354719	0.979657255624607	0.000101602962631203	0.0101988491659368
"Zm00001eb319460"	2.11655711562195	4.63718127097603	0.00010345597240788	0.0103439680128761
"Zm00001eb023680"	2.26090132180907	2.49376057263633	0.000105049154365781	0.0104620718598956
"Zm00001eb369830"	2.51476490095582	1.10704502174285	0.000108685074287422	0.0107818990101695
"Zm00001eb377390"	-2.6084937232174	0.861705408527909	0.000109683605954366	0.0108312035702601
"Zm00001eb050010"	2.08516586027304	5.6669564945267	0.000110035065409005	0.0108312035702601
"Zm00001eb161720"	-3.40343980450937	-0.161149666506273	0.000110841365294358	0.0108684452239981
"Zm00001eb220760"	-2.40961180928001	1.39140618504836	0.00011217481008298	0.0109473251831311
"Zm00001eb108330"	2.12257847922261	4.04464171390469	0.000112507948999733	0.0109473251831311
"Zm00001eb405150"	-2.23174243460422	2.31784933202857	0.000113302747490975	0.0109709289045879
"Zm00001eb221650"	2.58219835651539	0.966550753289668	0.000113614518109412	0.0109709289045879
"Zm00001eb086850"	-2.89107407916782	0.149180163185745	0.000114313500037302	0.0109966122990429
"Zm00001eb102510"	2.2399362902801	2.38346100697551	0.000115298782449023	0.0110495391663223
"Zm00001eb131090"	2.13682036445179	3.71521787653191	0.000116164447060627	0.0110906477351567
"Zm00001eb267640"	-3.60015323890345	-0.365028891936216	0.00011803663554138	0.0111852925231675
"Zm00001eb087880"	3.37627256601776	-0.304813829573837	0.00011803663554138	0.0111852925231675
"Zm00001eb048860"	-2.27953041053818	1.95710630240954	0.000118546623428503	0.0111918589166924
